S/N,ID,Gender,BI80141,CHE80141,MA80141,MA80143,CS80141,CT80111,PE80141,FE80141,CL80111,total,percentage,rank
56,225036448,M,78.33,86.88,69.46,88.5,75.7,84.5,82.5,86.4,71,652.27,82.53,1
138,225066973,M,80.83,88.58,77.73,76,92.8,73.5,75,87.37,77,651.81,82.36,2
98,225056184,F,83.33,83.28,79.65,76,80,81,78.5,87.67,76,649.43,81.92,3
165,225075676,F,77,86.83,75.28,74.25,72.25,83.5,77.57,89.98,79,636.66,80.39,4
62,225038648,M,75,80,73.88,70,92.6,75,83,81.96,74,631.44,80.01,5
147,225068835,M,77.08,86.83,75.33,85.75,77.9,80,78.48,75.96,79,637.33,79.67,6
26,225024271,M,78.58,81.5,80.34,90.5,78.6,76,68,86.6,72,640.12,79.12,7
55,225035745,M,75.88,79.5,79.87,78,77.3,80,74,89.44,75,633.99,79.01,8
85,225054029,M,79.71,77.88,61.98,79,81.8,78,71.5,81.82,70,611.69,78.58,9
27,225024504,M,73.75,77.75,77.66,72.75,77.3,80,80.5,85.5,78,625.21,78.29,10
13,225023290,M,75.58,74.13,65.57,71,85.5,73,76.5,88.46,68,609.74,78.07,11
115,225060920,M,76.42,75.8,75.62,80.5,81.1,74.5,79.16,80.41,55,623.51,77.98,12
158,225074109,M,79.08,86.4,69.12,76,82.7,79,67,74.15,73,613.45,77.98,13
47,225031670,M,78.83,76.13,63.08,76,80.3,79,76.5,76.86,65,606.7,77.86,14
15,225023375,F,84.08,75.63,76.32,78.5,76.2,73.5,67,85.15,70,616.38,77.55,15
22,225024196,M,75.46,76.5,62.73,77.5,79,76,72.5,85.97,72,605.66,77.42,16
11,225022908,F,77.58,79.58,72.57,72.5,81.5,75,73.5,79.38,33,611.61,77.37,17
43,225027040,F,73.83,77.25,67.79,71.5,82.4,78.5,68,87.06,68,606.33,77.1,18
180,225082815,M,78.25,76.2,74.76,65.5,80.1,72.5,73.5,86.47,72,607.28,76.99,19
107,225059112,M,71.25,85.05,67.54,79.25,84.65,76,70.5,75.53,73,609.77,76.89,20
53,225033313,M,81.08,71.25,72.42,66.5,74.1,78,70,88.83,75,602.18,76.72,21
178,225082116,F,77.75,81.58,67.48,61.5,76.55,77.5,71.54,82.47,71,596.37,76.72,22
157,225073891,F,77.08,78.85,72.98,69,72.3,83.5,73.67,78.37,81,605.75,76.69,23
77,225053373,F,73.25,75.5,78.83,74.25,77.6,80.5,69.5,86.46,70,615.89,76.65,24
45,225029335,M,80.33,71.75,76.65,86.75,75.7,77,64,82.87,64,615.05,76.46,25
2,221022197,M,69.29,70.75,57.37,65,87.7,73.5,80.5,86.09,79,590.2,76.43,26
113,225059959,M,76.08,78.83,68.09,71.5,74.7,74.5,70.6,86.49,75,600.79,76.43,27
126,225063002,M,77.42,78.28,70.05,82.75,68.1,83,68,79.56,65,607.16,76.35,28
179,225082427,M,74.08,82,73.25,72.5,85.15,73.5,74.38,71.68,74,606.54,76.3,29
23,225024228,M,78.42,74.38,62.34,64.5,73.4,74.5,79.36,82.25,82,589.15,76.25,30
94,225055473,M,77.33,73.5,79.95,66.25,87,74,72.5,75.24,72,605.77,75.91,31
88,225054810,M,73.17,76.63,69.37,76.5,74,78.5,70,83.47,76,601.64,75.8,32
32,225025208,F,73,68.13,66.41,66.75,76,79.5,80.5,83.46,73,593.75,75.78,33
148,225068880,M,77,75.95,67.19,74.5,70.45,77,72.95,80.22,81,595.26,75.62,34
110,225059735,M,78.25,71.3,61.05,78.5,76.2,72.5,67.5,84.67,77,589.97,75.54,35
99,225056247,M,74.92,80.58,72.58,67.5,70.45,72,78.5,80.1,81,596.63,75.39,36
90,225055128,M,79.5,73.5,72.09,77.5,78.8,72.5,66,78.78,72,598.67,75.37,37
57,225037212,M,69.58,72.25,79.38,74.75,68,82,75,88.5,70,609.46,75.36,38
66,225043227,M,76.33,73.63,66.14,74.25,76.1,73.5,69,83.05,74,592,75.27,39
24,225024245,F,74.83,74,78.02,84,73.6,79,66,79.91,69,609.36,75.25,40
51,225032536,F,81.08,68,59.46,62,78.2,76,70,81.68,33,576.42,75.22,41
52,225033213,M,76.67,73,77.71,70.5,78.5,71,70.5,82.85,65,600.73,75.16,42
183,225086145,F,67.5,67.45,70.48,69.75,81,81.5,71.76,87.97,78,597.41,75.12,43
67,225043622,F,69.5,69.13,66.25,74.5,75.2,80.5,69.5,88.86,77,593.44,74.96,44
153,225070519,M,70.75,82.65,68.07,61,77.7,73,69.52,84.74,70,587.43,74.89,45
128,225063252,F,80.25,66.13,71.46,84.5,73.7,77.5,71,72.88,77,597.42,74.83,46
133,225064876,M,77.33,74.03,65.18,61.75,77.8,75,70.25,79.77,78,581.11,74.82,47
14,225023298,F,75.08,75.73,58.96,63.75,71.8,75,71.5,84.99,64,576.81,74.79,48
8,225022548,M,80.58,74.75,67.93,73.75,72.4,73,65,80.59,64,588,74.78,49
17,225023551,F,72.67,74.38,68.5,67.25,81.2,82,67.5,75.13,71,588.63,74.69,50
116,225060963,F,67,80.75,71.62,75,72.4,80,72.5,78.8,68,598.07,74.64,51
176,225080667,F,83.08,77.08,51.55,64.75,67.35,75,72.9,72.6,76,564.31,74.56,52
111,225059787,M,79.42,73.88,72.13,71,68.2,78.5,64.5,82.13,71,589.76,74.55,53
