S/N,ID,Gender,CE80341,CE80342,BI80341,BI80342,CH80341,CH80342,CL80311,total,percentage,rank
50,224015588,F,71.5,89,69.4,80.75,67.93,72.63,76,527.21,75.31571429,1
24,224000516,F,75,82,72.25,78.75,67.03,66.38,76,517.41,73.91571429,2
23,224000478,M,78,85,67.95,85.25,58.8,67.88,73,515.88,73.69714286,3
33,224002030,F,73,84,64.98,83.25,70.45,68.38,71,515.06,73.58,4
58,224002061,M,80,81,69,81.75,54.8,71.13,74,511.68,73.09714286,5
51,224015786,M,71.5,77,62.95,76.25,66.06,72.13,78,503.89,71.98428571,6
17,224000094,M,65,78,62.38,79.25,66.45,73.88,77,501.96,71.70857143,7
82,216180716,M,,,69.15,65.25,63.25,,,197.65,71.55,8
83,217055524,F,,,71.65,77,66,,,214.65,71.55,9
49,224014518,F,77,82,62.5,77.25,63.16,64.63,74,500.54,71.50571429,10
32,224001964,M,60.5,84,69.03,78.25,60.83,68.63,75,496.24,70.89142857,11
31,224001376,F,67.5,81,69.58,75.25,70.03,51.13,81,495.49,70.78428571,12
21,224000355,F,69,82,63.68,80.25,56.6,66.38,77,494.91,70.70142857,13
26,224000901,F,79,81,72.68,71,56.52,60.38,74,494.58,70.65428571,14
18,224000179,F,74,81,66.1,76.75,59.15,62.63,74,493.63,70.51857143,15
45,224010219,F,70.5,77,70.4,77.25,59.69,65.13,73,492.97,70.42428571,16
40,224007458,F,77,83,64,74.75,60.13,58.38,74,491.26,70.18,17
34,224002857,M,67.5,81,64,70.25,60.6,68.38,79,490.73,70.10428571,18
60,224003204,M,65.5,82,59.48,78.25,63.8,64.38,76,489.41,69.91571429,19
43,224009727,M,63,83,61.18,81.5,61.35,63.63,74,487.66,69.66571429,20
67,215037007,M,,,61.58,76,63,,,200.58,92.7,21
64,218011476,M,,,64.6,80.75,59.75,73,,278.1,69.525,22
54,224021496,F,66.5,85,60.8,81.25,55.07,59.75,77,485.37,69.33857143,23
38,224005844,M,78.5,76,65.15,74.5,50.48,59.63,80,484.26,69.18,24
20,224000354,M,71.5,85,61.8,69.25,53.18,69.13,74,483.86,69.12285714,25
37,224003801,F,58,83,67.1,80,59.13,55.63,81,483.86,69.12285714,26
62,224021393,F,0,69,0,0,0,0,0,69,69,27
36,224003662,M,66.5,81,63.2,74.5,57.1,66.63,73,481.93,68.84714286,28
47,224013174,M,72.5,72,64.2,76.5,53.9,65.38,77,481.48,68.78285714,29
28,224001069,F,74.5,81,59.4,74.25,56.82,62.38,73,481.35,68.76428571,30
71,225051349,F,,,61.08,62.5,52,,,175.58,159.5366667,31
39,224007119,F,73,79,66.5,66,60.98,57.13,76,478.61,68.37285714,32
41,224008470,M,63.5,84,60.4,70,61.02,63.13,76,478.05,68.29285714,33
35,224003167,F,63.5,84,60.68,78.75,54.05,60.13,73,474.11,67.73,34
59,224002617,M,64.5,81,68,71,58.1,55.88,73,471.48,67.35428571,35
16,224000017,F,70.5,82,59.7,72.75,56.87,54.63,75,471.45,67.35,36
29,224001286,F,68,78,62.58,76.25,57.75,61.63,67,471.21,67.31571429,37
46,224011377,F,62.5,79,63.93,68.25,52.29,65.13,77,468.1,66.87142857,38
48,224013473,M,60,80,66.1,72.25,54.6,61.63,73,467.58,66.79714286,39
