SN,Ref.No.,Gender,CS80142,CS80143,CS80144,MA80141,CS80141,CT80111,PE80141,FE80141,CL80111,total,percentage,rank
28,225039679,M,94.63,94.2,87.61,84.08,84,76.5,85.7,79.91,81,686.63,86.08,1
4,225030583,F,81.02,87.3,67.67,80.31,84.5,84,89.5,79.17,81,653.47,81.88,2
18,225035551,M,73.56,86.5,79.51,78.83,84,81.5,84.6,83.11,80,651.61,81.83,3
33,225042118,M,84.69,86.5,72.9,62.78,86,80.5,78.5,73.81,79,625.68,80.41,4
2,225028235,M,76.23,81.3,66.02,72.12,95,77,71.5,81.03,73,620.2,78.3,5
6,225031426,M,80.69,86,76.21,69.29,86.5,73.5,72.2,72.53,76,616.92,78.23,6
21,225036654,M,79.1,88,65.01,68.62,83,80,77.9,72.14,74,613.77,77.88,7
24,225038015,M,77.04,73.2,74.26,74.9,82.5,74.5,82.9,79.63,76,618.93,77.72,8
23,225038012,M,87.38,82.7,71.81,74.41,77.5,74,74.7,75.61,88,618.11,77.67,9
54,225062389,M,70.19,78,66.41,73.29,89,83.5,77.6,78.86,72,616.85,77.65,10
62,225065977,M,75.25,74.8,69.22,83.42,85,78.5,80.3,73.28,79,619.77,76.62,11
86,225083757,M,79.58,80,73.82,74.25,81.5,75,70.4,75.42,78,609.97,76.53,12
64,225067188,M,81.58,79.3,61.81,72.95,87,71,76.4,76.07,75,606.11,76.17,13
58,225063683,M,64.9,83.5,66.34,68.81,82,80.5,75.6,75.23,61,596.88,75.44,14
59,225064960,F,64.9,83,60.64,72.8,84,79.5,74.8,80.43,72,600.07,75.32,15
75,225072552,M,74.67,82.5,50.28,61.1,87,76,72.6,80.93,70,585.08,74.85,16
15,225034228,F,74.13,78.5,69,68.31,78.5,74.5,76.4,72.59,71,591.93,74.8,17
8,225031774,M,68.83,79.5,74.11,61.71,80,78.5,67.4,74.83,64,584.88,74.74,18
63,225066185,M,77.52,78.3,65.84,63.8,80,80.5,68.5,72.43,66,586.89,74.73,19
46,225058665,M,78.25,74.5,66.06,75.62,86,73,73,70.82,83,597.25,74.52,20
27,225039404,M,71.73,82,65.81,61.18,83,74.5,70.1,73.07,53,581.39,74.32,21
74,225070658,M,65.02,77.8,74.93,72.62,83,76,71.5,71.96,69,592.83,74.32,22
19,225035571,M,80.19,77,69.97,61.44,75,74.5,72.4,68.45,79,578.95,73.93,23
13,225032506,M,77.94,79.5,66.11,72.97,67,78,72.2,75.35,79,589.07,73.73,24
22,225037737,F,77.31,82.2,64.2,75.24,79.5,77,67.1,68.64,65,591.19,73.71,25
26,225038540,M,75.73,69.5,65.21,65.71,84,77,65,77.63,75,579.78,73.44,26
11,225032187,M,75.6,76.3,65.11,71.93,69,82,77,68.86,74,585.8,73.41,27
16,225034471,F,69.81,72.5,66.5,57.98,76.5,82,72,73.18,82,570.47,73.21,28
51,225060937,M,71.81,78.5,61.63,76.31,79,77.5,72.2,69.53,79,586.48,72.88,29
68,225068548,M,85.54,74,65.41,71.74,77,78.5,60.05,69.54,75,581.78,72.86,30
67,225068322,M,73.92,72.3,69.34,76.78,74,76.5,67.2,76.27,67,586.31,72.79,31
72,225069802,F,73,71.3,65.92,76.27,79.5,78.5,68.1,72.4,73,584.99,72.67,32
17,225035065,M,67.02,88,71.32,81.36,88.5,75.5,76.3,40.89,79,588.89,72.5,33
20,225036066,F,72.44,71.5,66.03,80.02,76,75,72.2,73.69,78,586.88,72.41,34
45,225058627,F,67.04,78.5,66.43,62.83,76,73,74.9,71.02,82,569.72,72.41,35
10,225031806,M,73.67,84.3,57.3,67.97,78,73,71.7,68.25,59,574.19,72.32,36
7,225031648,F,71.04,85.3,53.13,70.79,73,77.5,69.8,75.73,62,576.29,72.22,37
34,225042128,M,84.67,73.8,67.57,71.74,73,73,68.1,65.36,65,577.24,72.21,38
12,225032333,M,74.75,81,67.21,69.44,76,76.5,57.1,72.87,74,574.87,72.2,39
83,225081930,F,75.06,79.8,61.22,64.29,71,80.5,69.5,68.07,82,569.44,72.17,40
66,225067685,M,76.23,71.3,52.28,60.08,81,74.5,78.7,70.97,78,565.06,72.14,41
38,225045066,F,75.88,79.5,64.01,69.88,71,79.5,66.8,68.19,79,574.76,72.13,42
76,225073831,M,69.56,74.5,59.61,67.95,85,69,68.6,75.92,74,570.14,71.74,43
53,225061793,F,70.65,86.8,54.86,67.46,74,79.5,69,67.23,75,569.5,71.72,44
9,225031797,M,78.94,69.3,60.4,59.42,79,77.5,64.1,72.21,70,560.87,71.63,45
65,225067467,M,61.02,68.8,57.69,73.88,80,77,78.3,78.17,63,574.86,71.57,46
39,225052472,M,82.9,79.8,59.14,56.64,78.5,65.5,66.2,67.15,59,555.83,71.31,47
14,225033031,F,74.21,69.5,61.47,68.85,77,71,71.7,72.71,80,566.44,71.08,48
43,225057744,F,76.38,79.5,59.16,70.82,66,71.5,74.8,68.71,81,566.87,70.86,49
61,225065795,F,72.71,71.8,55.64,69.04,73,76.5,68.7,77.32,80,564.71,70.81,50
3,225030509,M,76.98,75.5,65.32,62.24,65,73.5,68.3,70.99,57,557.83,70.8,51
30,225040706,M,79.13,80.5,60.04,59.47,72.5,73.5,61.5,68.43,61,555.07,70.8,52
