S/N,ID,Gender,BI80142,BI80143,MA80144,PE80142,CT80111,CS80141,CL80111,total,percentage,rank
9,225036653,M,83.09,89.17,76.17,85.88,84,76,74.5,494.31,82.68,1
104,225050828,M,85.82,85.67,81.83,82.03,81.2,78,71.5,494.55,82.64,2
145,225056600,M,87.82,89.08,81,79.55,77.4,77,79,491.85,82.22,3
80,225027834,M,71.68,82.33,91,84.72,82.5,81,73,493.23,81.63,4
147,222004227,M,78.44,86.5,67.5,80.51,89.2,85,75.5,487.15,80.95,5
37,225083149,F,81.83,86.5,84.5,80.31,73,78.5,79.5,484.64,80.82,6
40,225040732,M,85.97,86.58,67.5,79.58,79.5,82,79.5,481.13,80.56,7
30,225051239,F,86,82.45,87,72.65,83.5,74.5,67,486.1,80.52,8
19,225032150,M,82.75,79.18,84.17,81.9,76,78,80.5,482,80.36,9
76,225054947,M,77.2,88.5,75.67,80.81,82.9,78,78,483.08,80.3,10
45,225034808,F,71.3,84.08,86.83,81.25,83.5,76.5,70.5,483.46,79.96,11
27,221002355,M,80.97,82.5,83.5,73.25,81.5,80.5,72.5,482.22,79.9,12
135,225034466,F,71.82,87.33,84,84.95,78.5,74,69,480.6,79.86,13
117,225085873,M,65.94,89.5,89,82.07,80.7,76.5,76,483.71,79.67,14
62,225073295,F,86.59,84.17,75.17,82.85,65.7,77,75,471.48,79.46,15
92,218009800,M,79.82,78.92,85,80.75,80.5,68,73.5,472.99,79.04,16
127,225045312,M,77.68,75.25,85,81.23,81,73.5,78,473.66,79.02,17
122,225053004,M,77.06,87.17,72.5,83.23,70.5,81,78,471.46,78.8,18
148,225034042,M,79.06,81.42,86.5,80.65,85.3,76,74,488.93,78.65,19
78,225064632,M,78.44,70.5,81.33,82.99,81.2,75,71.5,469.46,78.6,20
123,221005020,M,72.32,76.92,79.5,81.37,85.8,71.5,71,467.41,77.78,21
109,225054174,M,74.42,71.56,82.5,86.64,75.1,75,75.5,465.22,77.76,22
105,225051352,M,76.56,78.08,77.5,77.8,76.4,80,77.5,466.34,77.65,23
56,225083203,M,80.06,82.75,79.17,69.48,74,81.5,72,466.96,77.39,24
65,225057556,M,78.2,84.33,74.33,72.63,78.5,78,77,465.99,77.34,25
24,221019907,M,83.56,78.5,84.67,61.52,79,81,69,468.25,77.26,26
136,225043426,F,74.44,75.83,72.33,81.96,79.7,77,79,461.26,77.07,27
149,225068102,F,75.5,74.2,76,78.58,88.1,72,76,464.38,76.85,28
73,225078597,M,67.44,86.17,73.5,86.81,74.3,72,70.5,460.22,76.76,29
112,225047140,M,74.82,84.17,76.5,81.11,69,73.5,76,459.1,76.72,30
20,225033848,M,78,76.82,81.83,71,77,78,80.5,462.65,76.65,31
102,225074171,M,66.3,84.67,78,84.11,75.9,70,73.5,458.98,76.31,32
71,225051982,M,73.56,86.08,61,78,85.8,74,72,458.44,76.3,33
35,225026140,F,75.94,81.33,70.33,82.05,72.1,71,69.5,452.75,75.95,34
101,225055870,M,71.3,76.92,57.67,88.98,84.5,72,68.5,451.37,75.93,35
114,225044785,F,76.32,70.92,68.33,78.86,85.1,73,67,452.53,75.73,36
25,225085584,M,74.44,81.33,66.83,76.66,76,79,65.5,454.26,75.69,37
99,225037574,M,64.82,82.67,79.5,81.66,74.4,73.5,63,456.55,75.68,38
47,225036652,F,71.7,70,90,70.09,76.5,80.5,67,458.79,75.67,39
6,225048168,M,74.58,75.75,76.17,81.22,72.5,70,74,450.22,75.44,40
118,225031520,M,67.17,69.3,75,82.11,82.2,76,74,451.78,75.36,41
12,225055130,M,79.59,82.42,60.67,81.5,72.5,70,72,446.68,75.32,42
43,225079581,F,68.06,78.67,78,79.57,71.5,77,69,452.8,75.23,43
131,225051249,M,74.8,75.92,80.67,69.18,79.7,74,67.5,454.27,75.18,44
8,225057699,M,72.68,76.5,81.33,80.22,74,65,71.5,449.73,75.17,45
91,225078721,F,77.67,65.56,70.17,81.68,79.9,77,69,451.98,75.08,46
163,225088345,F,69.18,84.5,84,66.46,77.3,76,70,457.44,75.04,47
159,225069588,M,67.3,81.17,64,86.41,79.9,69,68.5,447.78,74.95,48
