S/N,ID,Gender,CE80341,CE80342,MA80341,MA80342,EC80341,EC80342,CL80311,total,percentage,rank
22,224006154,M,74,82.37,78.42,74.38,71.5,83.4,74.5,538.57,76.93857143,1
41,224012127,M,75,82.2,72.46,72,72.5,84.9,77,536.06,76.58,2
30,224008265,M,78,83.59,74.24,66,75.5,78.9,73,529.23,75.60428571,3
40,224011849,F,71,89,63.29,73.63,79,74.5,76,526.42,75.20285714,4
6,224002671,M,73,88,80.13,61.75,77,71.8,74,525.68,75.09714286,5
7,224003262,M,70,85.5,67.33,63.63,72,90.1,77,525.56,75.08,6
23,224006563,F,77,85.5,64.5,63.25,80,85.1,70,525.35,75.05,7
19,224005935,M,73,83.37,76.75,67,71.5,77.4,73.5,522.52,74.64571429,8
5,224001655,M,69,85,70.63,64.25,71.5,85.6,74.5,520.48,74.35428571,9
42,224012495,M,73,86.9,71,60.5,72,82.8,73.5,519.7,74.24285714,10
9,224003496,F,77,86.74,69.29,64.75,72.5,70.3,78,518.58,74.08285714,11
28,224008243,F,76,87.3,64.15,60.25,70.5,81.9,75.5,515.6,73.65714286,12
35,224010087,F,78,76.87,73.46,61.13,74.5,73.5,77,514.46,73.49428571,13
10,224003848,M,75,85.2,67.71,67.25,69,73.5,74.5,512.16,73.16571429,14
11,224004438,M,67,86.37,70.88,58.5,73.5,83.9,71,511.15,73.02142857,15
43,224012514,M,78,83,58.48,59.63,72.5,79.9,75.5,507.01,72.43,16
39,224011481,F,73,79.37,69.09,60.5,76,72.6,75.5,506.06,72.29428571,17
8,224003336,F,71,86.1,76.13,70.25,63,69,68,503.48,71.92571429,18
49,224009131,M,74,86.5,58.67,60.13,65,76.9,79.5,500.7,71.52857143,19
13,224004931,M,74,82.5,62.21,63.75,75,68,75,500.46,71.49428571,20
14,224004952,F,77,84.37,53.63,63.88,79,68,74,499.88,71.41142857,21
44,224013832,F,74,82.5,69.03,57.25,68,77.4,71.5,499.68,71.38285714,22
50,224009323,F,67,81.87,68.58,56.38,74,76.1,74.5,498.43,71.20428571,23
34,224009957,M,78,85,62.67,55,69.5,71.8,76,497.97,71.13857143,24
17,224005725,F,70,82,71.75,62.53,58,80.8,72.5,497.58,71.08285714,25
33,224009458,M,70,77.1,71.25,64.38,76,62.1,76.5,497.33,71.04714286,26
27,224008076,F,68,84.2,58.87,61.88,74,74.8,72.5,494.25,70.60714286,27
56,224006001,F,74,86.1,59.46,50.13,72.5,74.9,76,493.09,70.44142857,28
29,224008252,F,71,80.9,56.87,63.88,74.5,75.1,70.5,492.75,70.39285714,29
12,224004686,M,76,83.24,59.42,59.5,71,68.4,74,491.56,70.22285714,30
1,223008242,M,77,79,62.08,57.38,70,71.8,70.5,487.76,69.68,31
37,224010665,M,69,79.8,58.87,62.88,69.5,72.8,74.5,487.35,69.62142857,32
24,224006615,F,70,83.5,57.42,57.75,72,72.8,73.5,486.97,69.56714286,33
38,224011436,F,65,81.9,64.62,57.88,71,71.1,73,484.5,69.21428571,34
36,224010180,M,69,78,53.16,70.63,76,60.1,76.5,483.39,69.05571429,35
16,224005697,M,68,79.5,67.21,66.75,74,56,71.5,482.96,68.99428571,36
25,224006875,M,67,86,65.71,53.63,62.5,74.9,72,481.74,68.82,37
20,224005999,M,65,84.5,67.75,54.75,68.5,69.4,69,478.9,68.41428571,38
15,224005537,M,67,77.59,68.25,67.25,56.5,64,75,475.59,67.94142857,39
31,224009398,M,67,81,53.73,58,68.5,74.4,72.5,475.13,67.87571429,40
32,224009440,F,67,80,54.79,62.13,71.5,67.4,70.5,473.32,67.61714286,41
52,224012404,F,65,78.98,63.35,52,66,73.8,72.5,471.63,67.37571429,42
46,224014116,F,67,80.99,59.61,60.5,54,70.4,76.5,469,67,43
55,224014225,M,66,80.37,60.38,51.13,63.5,70.1,73.5,464.98,66.42571429,44
21,224006097,M,64,87.5,54.29,51.38,70,68.9,68.5,464.57,66.36714286,45
45,224014081,F,75,79.5,58.83,50.75,67,69.1,64,464.18,66.31142857,46
18,224005805,F,68,71.99,58.46,55.5,54,75.8,73.5,457.25,65.32142857,47
2,223008392,M,71,73.86,55.38,50.13,60,67.9,73.5,451.77,64.53857143,48
26,224007645,M,69,77.4,55.17,50.25,58,63.6,74.5,447.92,63.98857143,49
47,224007869,M,65,79.23,53.21,50.38,55,70.4,67,440.22,62.88857143,50
4,223011751,M,66,84.5,50.46,50.38,58.5,61,66.5,437.34,62.47714286,51
3,223009572,M,57,73.1,50.12,50.25,65,72.4,69,436.87,62.41,52
48,224008548,M,65,83.05,43.36,40.75,63,69,70.5,434.66,62.09428571,53
54,224014093,F,54,79,50.37,55.88,63,59.4,64,425.65,60.80714286,54
53,224012653,F,56,78.9,46.39,53.5,52.5,63.8,70,421.09,60.15571429,55
51,224010879,F,63,79.37,50.55,50.25,51,56,66.5,416.67,59.52428571,56
57,223014416,F,43,70.62,34.58,34.63,53,50,65.5,351.33,50.19,57
