S/N,ID,Gender,MA80141,MA80142,EC80143,CS80141,CT80111,PE80141,FE80141,CL80111,total,percentage,rank
129,225074687,M,85.89,87.54,90,84,84.1,74.4,86.24,65.5,592.17,85.01,1
17,225031468,M,72.9,78.21,83.1,84.6,82.9,78.7,85.77,74,566.18,81.99,2
8,225028116,M,71.75,75.17,86.55,75.8,83.9,74.1,94.28,71.3,561.55,81.52,3
96,225061855,M,81.61,84.96,85.5,74.1,82.5,78.2,78.6,58.5,565.47,81.3,4
81,225056675,M,69.18,86.5,86.65,78.1,81.7,67,81.95,71,551.08,81.21,5
90,225059674,M,75.9,78.79,86.6,79,87.6,70.8,81.95,79,560.64,81.06,6
118,225069999,M,85.09,70.92,82.35,84,81.5,82.4,82.76,69,569.02,80.08,7
75,225055009,F,73.93,80.71,82,64,83.2,80.6,87.63,72.5,552.07,79.93,8
91,225059689,M,80.68,80.54,88.15,67.5,91.9,68.9,76.6,63.5,554.27,79.71,9
121,225070435,M,78.56,77.5,80,84.4,82.5,76.7,77.52,64,557.18,79.62,10
76,225055485,M,76.93,77.29,90.7,68.2,84.6,68.8,83.63,58.5,550.15,79.6,11
100,225063308,M,77.25,75.83,80,75.1,90.9,76.6,80.6,65.5,556.28,79.56,12
136,225079394,M,77.57,77.42,74.1,84.7,89.5,73.2,80.83,71.5,557.32,79.36,13
79,225056307,M,71.21,79.58,87.5,69.4,77.4,70.1,82.63,63,537.82,78.59,14
94,225061668,M,82.04,85,85.15,68,74.8,69.7,78.6,58.5,543.29,78.05,15
71,225053980,F,74.57,76.21,76,72.85,82.9,77.3,84.63,76,544.46,78,16
9,225028349,M,82.17,72.5,87.55,68.8,84.2,63.45,87.28,67.3,545.95,77.69,17
92,225060017,M,64.9,74,83.15,77.1,87.7,65.5,76.6,63.5,528.95,77.52,18
125,225072515,F,74.79,77.17,78.25,75.8,79,71.8,82.73,62.5,539.54,77.49,19
36,225038448,F,76.72,78.83,80.7,72.65,78,74.1,77.38,68,538.38,77.35,20
26,225034652,F,79.09,79.42,85,71.45,69.4,68.7,85.01,71,538.07,77.31,21
58,225043140,M,74.93,79.29,72.25,80.05,89.8,64.6,78.73,64.3,539.65,77.21,22
1,225023716,M,68.6,81.71,78,75.5,70.5,66.1,87.28,70.5,527.69,76.99,23
89,225059567,F,83.4,74.04,85.6,68.1,75.5,75.9,79.95,69,542.49,76.99,24
83,225058346,M,77.33,86.08,70.65,69.5,87.9,67.3,78.95,61,537.71,76.96,25
70,225053418,M,67.32,74.33,69.5,86,83.1,72.6,81.18,68.3,534.03,76.95,26
19,225031674,F,75.75,76.88,81.5,65.2,79.6,74,79.77,64,532.7,76.59,27
67,225052152,M,76.32,78.75,73.5,78.85,79.4,69.2,80.18,64.3,536.2,76.57,28
38,225039244,F,72.15,75.75,83.7,75.35,79.5,65,76.38,73,527.83,76.49,29
68,225053067,M,73.32,74.71,84,78.5,74.2,59.3,83.18,63.3,527.21,76.18,30
93,225061454,F,65.47,78.92,71.15,70.4,87.8,71.2,78.6,69.5,523.54,76.16,31
131,225075001,F,64.1,69,83.05,70,81.1,67.5,86.28,74.3,521.03,76.14,32
37,225038752,M,70.01,76.13,74.7,70.55,80.5,76.1,79.38,64,527.37,76.11,33
88,225059243,M,70.04,75.54,73.1,71.3,84.2,74.9,78.95,79,528.03,76.04,34
25,225033762,M,81.02,78.79,81,75.55,72.8,62.7,81.01,80.5,532.87,75.96,35
15,225030650,F,68.83,75.83,66,77.85,79.3,75.4,82.77,74.5,525.98,75.44,36
51,225042437,F,75.14,78.83,75.3,75.5,76.3,65.2,77.73,61.3,524,75.13,37
108,225065021,M,85.84,71.96,76.35,67.97,81,71.6,81.91,69,536.63,74.99,38
31,225037246,M,70.44,75.08,70.75,77.7,80.1,69.2,78.38,74,521.65,74.88,39
86,225059160,M,69.33,77.13,77.6,71.6,79.9,61.5,78.95,59.5,516.01,74.86,40
10,225028401,M,72.03,79.71,66.55,74.35,72.9,68.4,88.28,67.3,522.22,74.76,41
44,225041369,M,67.94,68.21,83.5,70.35,72.6,68.4,82.24,77.6,513.24,74.45,42
112,225066530,M,76.02,70.79,69.85,78.6,80,75.8,75.76,60.5,526.82,74.45,43
