S/N,ID,Gender,CE80341,CE80342,MA80341,MA80342,PH80341,PH80342,CL80311,total,percentage,rank
42,224013351,F,73,86,72.29,76.83,77.3,61,78.5,524.92,74.98857143,1
57,224013960,F,84,80,76.13,73.75,69.1,62.88,76.5,522.36,74.62285714,2
12,224004353,M,81,78,71.92,76.63,64.8,65.75,77.5,515.6,73.65714286,3
8,224003354,M,86,78,70.04,76.17,75.9,61,66,513.11,73.30142857,4
66,225051355,F,,,,,76,68.9,,144.9,72.45,5
70,225051326,M,,,,,84,60.8,,144.8,72.4,6
47,224021394,F,81,78,77.75,73.96,67.3,57.25,70.5,505.76,72.25142857,7
29,224008856,M,73,80,67.04,68.58,70.6,64.75,77.5,501.47,71.63857143,8
35,224010466,M,74,87,76.25,65.21,73.8,53.5,71,500.76,71.53714286,9
38,224011264,M,82,88,72.75,63.13,62.6,56.38,73,497.86,71.12285714,10
41,224013229,M,77,85,63.58,67.75,54.7,62.13,87,497.16,71.02285714,11
36,224010531,M,79,74,72.46,68.38,63.5,65.75,74,497.09,71.01285714,12
7,224003174,F,85,81,73.63,53.75,64.8,56.75,76.5,491.43,70.20428571,13
62,225051385,M,,,,,87,53.3,,140.3,70.15,14
18,224006450,M,84,83,58.25,68.75,62.6,56.88,77,490.48,70.06857143,15
28,224008678,M,84,79,68.46,59.13,66.2,52.5,77,486.29,69.47,16
14,224005269,M,81,83,61.88,64.46,67.4,53.25,75,485.99,69.42714286,17
45,224017785,M,80,85,60.83,64.08,65.6,52.88,77.5,485.89,69.41285714,18
46,224021386,F,74,84,67.13,70.21,55.7,59.13,75,485.17,69.31,19
4,224002663,M,81,77,70.04,70.46,55.3,59.75,71,484.55,69.22142857,20
33,224010136,F,77,84,63.5,66.88,62.1,56.88,74,484.36,69.19428571,21
5,224002732,F,81,84,68.58,60.33,63,50.38,76,483.29,69.04142857,22
25,224007847,M,78,79,60.79,75.83,61,55.25,72,481.87,68.83857143,23
20,224006736,F,82,79,65.79,64.42,62.7,50.88,76,480.79,68.68428571,24
50,220012063,F,88,79,62.54,62.58,64.2,51.25,71.5,479.07,68.43857143,25
6,224002872,M,84,87,59.67,50.71,63.9,63,70.5,478.78,68.39714286,26
32,224009890,M,73,79,66.29,68.25,57.6,55,79.5,478.64,68.37714286,27
10,224003643,M,86,77,64.67,66.63,61.3,50.63,71.5,477.73,68.24714286,28
37,224011212,M,72,80,63.71,56.46,73.1,59.38,72.5,477.15,68.16428571,29
73,225051305,F,,,,,74,61.6,,135.6,67.8,30
