S/N,ID,Gender,PH80141,MA80142,MA80141,CS80141,CT80111,PE80141,FE80141,CL80111,total,percentage,rank
82,225058065,M,89.63,82.47,82.88,85.1,91,81.64,87.5,87,600.22,86.2,1
49,225047134,M,82.75,79.56,81.45,80,92,80.28,90,78,586.04,83.68,2
19,225032074,M,71.03,77.6,88.1,83,89,79.5,87.5,78,575.73,80.28,3
106,225066845,M,77.72,69.42,79.47,82.6,85,85.6,86.5,85,566.31,80.06,4
28,225034670,M,81.28,75.94,77.55,85,89,68.53,81.5,82,558.8,79.98,5
77,225056790,F,80.75,75.82,74.16,75.4,92,66.94,86.5,72,551.57,79.38,6
122,225076614,F,80.88,71.83,68.95,77.9,86,68.2,89,79,542.76,78.59,7
24,225033382,M,76.03,68,77.08,79.1,92,71.1,90,84,553.31,78.32,8
56,225051939,M,75.47,72.93,64.55,84.4,92.5,65.94,79.5,75,535.29,77.85,9
16,225030773,M,72.72,68.34,71.26,79.4,85.5,77.91,88,81,543.13,77.49,10
81,225057881,M,82.53,66.08,78.25,77.6,84.5,72.34,85,74,546.3,77.48,11
109,225068235,M,76.53,74.21,79.29,71.6,85,72.65,86,84,545.28,77.34,12
102,225065576,M,78.78,68.32,78.3,74.2,81,82.6,82,73,545.2,77.21,13
132,225088757,M,77.88,64.83,75.51,73.1,78.5,84.28,88.5,79,542.6,76.92,14
32,225035854,F,68.47,72.72,75.59,79.3,85,73.58,87,80,541.66,76.67,15
84,225058587,M,62.53,71.85,72.27,85.3,90.5,74.77,83.5,85,540.72,76.52,16
128,225081162,M,65.22,69.75,82.87,74.4,84,85.44,88.5,79,550.18,76.4,17
31,225035123,F,65.94,66.82,79.84,75.5,91,76.96,88.5,81,544.56,75.87,18
63,225053539,M,70.38,65.86,61.5,76.6,94,67.8,88,67,524.14,75.82,19
21,225032389,M,73.5,66.33,69.13,65.1,90,74.9,90,86,528.96,75.68,20
92,225061358,M,64.47,77.22,74,71.5,90.5,71.81,83,70,532.5,75.62,21
87,225059831,M,76.28,72.31,70,72.8,78.5,69.49,83.5,76,522.88,75.31,22
107,225067648,M,71.25,73.15,75.33,73.1,79,70.2,87,70,529.03,75.13,23
66,225054730,M,74.53,70.59,75.11,68.5,87,73.66,79,80,528.39,75.12,24
119,225071616,M,75.97,77.19,72.73,63.9,80.5,61.09,85.5,80,516.88,74.39,25
115,225069376,M,75.47,70.58,72.76,67.9,74.5,72.76,85,79,518.97,74.18,26
68,225054759,M,65.97,58.73,77.29,70.4,94,79.37,87,74,532.76,73.97,27
67,225054756,M,65.88,66.48,79.4,73,92.5,64.1,88.5,84,529.86,73.8,28
103,225066094,M,70.53,86.9,78.19,57,75,68.18,77,74,512.8,73.33,29
59,225052958,M,67.75,67.44,65.46,60.1,94,74.85,81.5,76,511.1,73.32,30
72,225056014,M,69.97,73.71,81.72,73,76.5,65.71,82,73,522.61,73.25,31
113,225068911,M,84.53,67.98,75.58,72.6,70,59.28,81.5,68,511.47,73.16,32
123,225077867,M,71.53,74.88,65.12,74,73,56.6,86.5,69,501.63,72.82,33
91,225061191,M,60.78,57.28,67.09,71.2,91,81.37,89,75,517.72,72.81,34
125,225080706,F,63.38,55.35,62.33,76.5,84.5,79.16,90,79,511.22,72.61,35
42,225041232,M,62.03,72.85,66.2,68.7,89.5,58.93,87.5,77,505.71,72.42,36
17,225030791,M,61.78,64.82,67.1,64.1,87,76.89,89,88,510.69,72.41,37
129,225081431,F,64.28,59.75,67.34,71.8,84,74.01,91,84,512.18,72.41,38
38,225040365,M,63.72,61.4,63.16,65.4,90.5,74.7,88,80,506.88,72.33,39
76,225056736,M,78.38,66.76,72.23,62,91,57.31,76.5,72,504.18,72.07,40
94,225061723,M,65.88,69.35,72.19,64.5,83,62.65,89.5,63,507.07,71.79,41
93,225061445,F,60.78,52.62,70.73,83.5,87.5,77.54,82,80,514.67,71.52,42
89,225060067,F,65.47,63.61,67.29,66,89,66.8,85,71,503.17,71.49,43
127,225080934,F,69.78,59.33,57.39,78,75.5,74,78,79,492,71.31,44
97,225062422,M,63.38,62.27,68.2,73.2,76,72.81,88.5,88,504.36,71.28,45
34,225036367,M,57.63,67.47,78.58,76,88.5,61.3,84.5,74,513.98,71.13,46
61,225053231,M,65.63,59.19,52.2,57.6,92,71.5,89.5,80,487.62,71.12,47
53,225051371,M,67,56.57,72.41,65.2,93,62.3,91,76,507.48,70.98,48
15,225029705,F,54.78,62.17,75.62,80.5,80,72.98,87.5,80,513.55,70.91,49
43,225041725,M,57.53,63.64,63.48,70.6,87.5,73.5,83,78,499.25,70.91,50
108,225068107,M,64.78,64.28,59.22,70.1,76,75.03,81.5,85,490.91,70.89,51
10,225024391,M,63.53,61.92,59.81,71.3,92,59.76,83.5,79,491.82,70.68,52
26,225034096,M,53.38,69.76,73.96,61.6,85,77.4,84,74,505.1,70.39,53
95,225061833,M,58.97,56.64,60.05,68.3,91,74.71,85,76,494.67,70.35,54
22,225032538,F,64.03,67,63.32,68.3,83.5,54.7,87,70,487.85,70.01,55
118,225071295,M,53.47,62.58,63.91,76.5,87,67,85.5,78,495.96,70.01,56
111,225068477,M,67.25,70.63,70.52,74.5,75,50,83.5,82,491.4,69.97,57
35,225036928,M,65.72,60.19,69.48,67.5,92,56.65,83,67,494.54,69.72,58
18,225031547,F,54.47,51.6,60.65,63.1,89.5,86.1,89,81,494.42,69.54,59
78,225056882,M,60.72,69.42,70.52,65.6,87,60.84,77.5,72,491.6,69.45,60
51,225051331,F,60.25,55.48,63.8,69.8,85.5,66.09,91,79,491.92,69.43,61
114,225068961,M,71,57.02,68.83,70.9,71.5,67.95,83.5,70,490.7,69.41,62
117,225070329,M,76.88,55.42,70.19,72.5,75.5,64,75,71,489.49,69.35,63
73,225056043,M,52.84,61.72,66.48,74,94,63.45,81.5,63,493.99,69.26,64
69,225055215,M,56.38,59.57,73.62,70.5,90.5,62.44,87,70,500.01,69.19,65
14,225028586,F,57.22,62.48,60.94,67.4,88,63.75,85.5,74,485.29,69.17,66
40,225040850,M,62.78,59.34,72.41,71.6,89,65.9,74,70,495.03,69.1,67
101,225064641,M,63.69,60.35,45.41,64.4,80.5,71.86,80.5,79,466.71,69.04,68
48,225045159,F,57.03,63.15,66.9,66,88.5,64.8,83.5,64,489.88,69.01,69
45,225042274,F,63.75,50.03,57.62,66.6,81.5,76.76,87,76,483.26,68.93,70
74,225056076,M,50.47,66,69.55,69.2,92.5,63.53,82.5,65,493.75,68.92,71
98,225062453,M,56.28,66.98,72.9,66,83.5,69.2,78,79,492.86,68.8,72
100,225064168,M,55.38,63.42,58.51,67,90,60.02,86,77,480.33,68.74,73
46,225042663,F,59.13,62.85,54.59,71.5,80.5,58.14,87,64,473.71,68.59,74
126,225080767,F,46.47,60.21,67.52,75.6,84,69.4,89,78,492.2,68.29,75
64,225053597,M,60.63,54.73,59.97,60.7,80,74.98,89,83,480.01,68.25,76
39,225040515,F,59.97,70.05,62.88,64.4,80.5,50.36,87,68,475.16,68.18,77
99,225063935,M,63.28,54.43,73.63,67.6,85,66.04,82,72,491.98,68.17,78
23,225032717,M,65,59.51,64.02,62.2,89.5,61.5,76.5,79,478.23,68.07,79
57,225051946,M,50.28,70.34,76.29,63.9,81,65.33,85,78,492.14,68.02,80
36,225037190,M,60.19,76.11,70.27,58.6,76.5,59.31,77,64,477.98,67.98,81
13,225027604,F,58.94,56.42,64.26,73.3,87.5,61.84,79.5,65,481.76,67.88,82
30,225034921,M,57.53,53.76,63.17,76.6,90,58.02,83.5,72,482.58,67.86,83
4,221013686,M,56.88,57.84,62.12,69.1,87,70.59,76,74,479.53,67.82,84
37,225040143,M,71.47,63.11,63.48,55.7,92,53,71.5,64,470.26,67.72,85
90,225060468,F,50.47,50.73,67.31,73.7,88,75.63,84.5,80,490.34,67.66,86
62,225053491,M,55.47,57.48,67.44,67.3,86.5,68.67,81.5,75,484.36,67.63,87
131,225088513,F,55.75,61.06,66,74,70.5,69.68,84,77,480.99,67.63,88
44,225042032,F,66.78,61.15,74.3,66,88,58.77,68.5,69,483.5,67.6,89
27,225034099,F,54.13,52.49,53.39,61.6,90,78.6,83,84,473.21,67.59,90
86,225059229,M,59.03,58.24,64.8,71,85.5,53.5,87,75,479.07,67.56,91
71,225055977,M,58.47,56.79,59.66,61.8,92,61.75,84,67,474.47,67.49,92
3,220002453,M,67.88,64.51,70.11,76.5,61,65.06,71.02,61,476.08,67.45,93
88,225059940,F,58.22,60.81,76.27,62.7,85,66.8,78.5,76,488.3,67.36,94
121,225076212,M,54.38,53.04,69.83,79.4,72,72.16,86.5,87,487.31,67.31,95
70,225055702,M,65.22,63.07,52.86,57.8,85,58,77.5,72,459.45,67.25,96
5,222021890,M,64.22,56.47,59.12,63.2,81,65.3,79,68,468.31,67.08,97
12,225027500,F,58.5,65.38,71.48,63.1,87.5,55.83,76.5,72,478.29,66.96,98
60,225053108,F,60.28,58.49,59.49,59.9,91,62.09,76.5,69,467.75,66.81,99
110,225068425,M,56.63,51.13,53.75,73.3,83.5,64.53,83,69,465.84,66.57,100
116,225069484,F,57.72,59.85,70.26,68.3,75,55.35,86.5,85,472.98,65.93,101
47,225042687,M,67.78,56.28,55.8,55.2,82,56,82,69,455.06,65.9,102
96,225062002,F,60.78,54.74,57.96,59.5,91.5,59.39,77.5,68,461.37,65.88,103
104,225066394,F,54.97,53.01,64.1,81.9,76,57.23,84,77,471.21,65.87,104
41,225041075,M,56.22,56.62,68.19,68.1,80,55.89,83,70,468.02,65.18,105
80,225057676,M,56.28,56.44,55.88,60.2,83.5,58.45,83.5,83,454.25,64.96,106
105,225066605,M,63.03,51.03,65.08,62.2,63,69.61,88.5,70,462.45,64.91,107
11,225027032,M,55.97,56.57,70.01,60.7,86.5,58,75.5,71,463.25,64.21,108
29,225034684,F,56.03,56.17,50.7,64.4,86,50,79.5,65,442.8,64.03,109
25,225034018,M,57.13,66.92,66.13,61,83.5,35.5,82,76,452.18,64.01,110
55,225051412,F,50,50.5,73.4,66.9,84,66.19,79,74,469.99,63.83,111
52,225051363,M,53.63,52.05,67.08,66.2,87,55.69,77.5,72,459.15,63.56,112
54,225051386,M,50.72,55.58,53.93,67.2,76,62.23,79.5,68,445.16,63.48,113
85,225058659,M,59.38,50.6,50.15,50.4,90,58.13,80.5,68,439.16,63.43,114
120,225074082,M,56.53,54.79,64.02,61.7,78.5,54.44,80,64,449.98,63.09,115
79,225057072,F,52.53,50.36,53.4,60.9,85.5,58.6,82,71,443.29,63.05,116
33,225035956,F,57.75,53.62,53.92,56.7,82,55.51,78.5,73,438,62.82,117
65,225053607,M,50.28,43.34,65.64,73.1,87.5,56.68,82,64,458.54,62.82,118
112,225068563,F,57.03,56.54,73.05,60.4,66.5,56.88,84.5,78,454.9,62.66,119
124,225079753,F,56.03,45.23,61.97,73.6,73.5,53.56,85.5,80,449.39,62.58,120
50,225051237,M,50.22,50.86,62.88,59.9,78,63.86,84.5,65,450.22,62.55,121
7,224021425,F,62.13,55.18,50,70.5,58,61.31,68.39,58,425.51,62.02,122
58,225052209,M,51.22,50.77,55.52,55.8,88,60.2,73.5,51,435.01,61.5,123
8,224021472,F,63.63,60.98,50,63,51,60.05,64.3,51,412.96,60.75,124
130,225082672,M,56.47,51.6,44.13,66.4,59.5,58.5,78.5,66,415.1,60.72,125
1,217270263,F,60.21,50,50,75,59.79,73.61,50,62.5,418.61,60.53,126
83,225058352,M,55.25,50.36,50.52,64.7,78,51.22,71,62,421.05,60.48,127
9,224021579,F,61.63,61.14,50,53,52,58.94,69.21,52,405.92,59.61,128
6,224021404,M,45.13,50.85,50,79,50,65.07,66.56,60.25,406.61,57.8,129
2,217283926,F,50.38,54.81,74.09,55.5,58.34,64.9,58.34,52.5,416.36,56.41,130
75,225056410,M,34.78,32.31,45.3,65.8,75.5,61.47,79,63,394.16,54.63,131
20,225032162,F,31.25,33.49,20.18,39.1,43,44.38,46,,257.4,38.51,132
