S/N,ID,Gender,CE80341,CE80342,PH80341,PH80342,CH80341,CH80342,CL80311,total,percentage,rank
12,224005596,M,83,83.62,67.9,72.7,74.73,82.63,78,542.58,77.51142857,1
15,224007224,M,81,90,74.1,66.03,73.17,79.88,74,538.18,76.88285714,2
10,224005060,M,75,86.5,73.8,71.9,56.9,79.88,73,516.98,73.85428571,3
26,224014459,M,86,84,52.2,69.6,58.55,78.13,76,504.48,72.06857143,4
6,224001630,M,76,79,57,66.5,66.33,80.88,78,503.71,71.95857143,5
21,224008808,M,67,85,68.5,62.83,64.43,76.63,76,500.39,71.48428571,6
25,224013877,M,78,83,63.2,61.75,68.15,69.63,76,499.73,71.39,7
1,223028703,F,82,84.5,56.3,70.18,65.04,71.13,70,499.15,71.30714286,8
14,224006565,F,75,86.5,61.5,60.75,67.01,69.13,77,496.89,70.98428571,9
3,224000482,F,80,77,61.9,62.9,63.7,73.38,74,492.88,70.41142857,10
16,224007299,M,75,79.38,58.1,62.13,51.56,86.13,78,490.3,70.04285714,11
36,225051291,F,78,71.88,59.8,,,,,209.68,69.89333333,12
31,224001522,M,67,66.75,64.6,68.43,65.44,79.88,75,487.1,69.58571429,13
7,224003274,F,70,86,53.3,65.55,60.35,76.38,74,485.58,69.36857143,14
27,224014506,F,68,77,67.9,63.95,57.58,73.88,75,483.31,69.04428571,15
9,224004161,F,73,87,55.1,58.68,57.59,72.63,77,481,68.71428571,16
18,224007771,F,72,84.5,50.5,56.38,68.27,72.13,75,478.78,68.39714286,17
2,224000118,M,67,83,62.3,56.53,57.19,75.13,76,477.15,68.16428571,18
5,224001399,F,65,85.5,54.1,52.45,63.09,74.88,76,471.02,67.28857143,19
8,224003502,F,64,82.12,62.8,56.85,61.45,72.88,68,468.1,66.87142857,20
17,224007721,M,69,86.5,56.6,56.33,55.18,73.88,70,467.49,66.78428571,21
19,224008088,M,72,85.5,57.6,55.45,58.79,66.38,69,464.72,66.38857143,22
41,225051300,F,70,70.13,57.8,,,,,197.93,65.97666667,23
13,224005845,F,61,76.25,58.6,62.58,54.32,68.13,77,457.88,65.41142857,24
23,224010309,M,71,84,54.5,41.63,56.95,74.38,74,456.46,65.20857143,25
28,224000849,F,60,86,61.6,52.08,44.34,73.63,75,452.65,64.66428571,26
4,224001006,M,72,82.5,54.6,50.25,50.05,51.88,77,438.28,62.61142857,27
30,224009906,M,69,82.75,51.6,51.93,42.02,66.38,72,435.68,62.24,28
24,224011820,M,67,82,53.4,53.15,45.02,61.88,70,432.45,61.77857143,29
20,224008338,M,64,82,50.4,50.75,50.05,60.13,72,429.33,61.33285714,30
42,216201101,F,65,61.63,55.7,,,,,182.33,60.77666667,31
11,224005545,F,69,75,47.9,50.03,55.43,55.63,72,424.99,60.71285714,32
34,225051398,M,67,60.38,53.6,,,,,180.98,60.32666667,33
39,225051240,M,68,59.38,51,,,,,178.38,59.46,34
35,225051374,M,65,62.63,50.6,,,,,178.23,59.41,35
29,224006312,F,74,73,41.3,50.73,41.7,58.13,77,415.86,59.40857143,36
33,225051365,M,76,59.63,41,,,,,176.63,58.87666667,37
44,218003464,M,63,55.38,61.1,,50.75,,,230.23,57.5575,38
22,224009264,F,55,85,40.8,42.98,39.81,57.63,74,395.22,56.46,39
38,225051334,F,59,50.38,54.3,,,,,163.68,54.56,40
32,217107257,M,56,56.38,50.4,,,,,162.78,54.26,41
40,217236960,M,59,63.88,32.5,,,,,155.38,51.79333333,42
45,223017159,M,39,38.07,43.13,41.91,58,75,65,360.11,51.44428571,43
43,225051397,F,57,53.88,42.9,,,,,153.78,51.26,44
37,217234240,M,51,43.68,36.5,,,,,131.18,43.72666667,45
