S/N,ID,Gender,PH80541,PH80542,CH80541,CH80542,CE80541,PE80541,CL80511,total,percentage,rank
26,223012107,M,88.75,87,68.5,72.75,86.5,78.3,84,481.8,80.30,1
18,223003211,M,89,90,70.75,68.08,78.5,78.2,74.5,474.53,79.09,2
27,223012163,M,86.83,86,58,63.21,88.5,84.5,75,467.04,77.84,3
31,223015834,F,84.75,83.5,68.75,67.17,83,79.16,75.5,466.33,77.72,4
9,223001786,M,87.25,83,61,65.71,81,79.4,74,457.36,76.23,5
5,223001374,F,80.75,74.5,71,62.46,81,73.4,69,443.11,73.85,6
35,223020027,M,75.75,76.5,62.5,70.08,76.5,78.9,73,440.23,73.37,7
7,223001450,F,78,67,56.5,74.46,83.5,79.1,82.5,438.56,73.09,8
15,223002380,M,87.5,78,61.75,61.17,75.5,70.1,81,434.02,72.34,9
11,223001919,M,73.63,78,67.75,61.46,75.5,74.5,72.5,430.84,71.81,10
33,223017000,M,78.88,77,57.25,56.58,78.5,80,77,428.21,71.37,11
1,219001994,F,81.25,78.5,56.75,62.33,73,72.6,74.5,424.43,70.74,12
28,223012611,F,83.83,56,56,56.83,81,86.9,73,420.56,70.09,13
30,223014283,M,78.75,67,62,63.46,73,73.9,76.5,418.11,69.69,14
2,223000619,M,70.58,73.5,56.75,61.08,75,79.3,74.5,416.21,69.37,15
10,223001886,F,73,67,60.25,62.21,81,72.1,71.5,415.56,69.26,16
24,223011187,M,88.33,66,51.25,55.08,73,80.4,73.5,414.06,69.01,17
20,223007950,M,76.25,67,54.75,62.71,75,77.7,45,413.41,68.90,18
29,223014045,M,75.33,61.5,63.25,54.58,78.5,78.9,76,412.06,68.68,19
17,223002861,M,78.38,63,62,58.46,73.5,74.7,73,410.04,68.34,20
32,223016514,F,65.38,60.5,61,65.08,80,77.6,77,409.56,68.26,21
3,223000861,M,79.5,74.5,55.25,50.96,71,76.8,67.5,408.01,68.00,22
13,223002175,F,80.13,61.5,60.25,52.79,73.5,76.3,74,404.47,67.41,23
34,223017475,F,73.08,58.5,57.25,55.83,73,83,68,400.66,66.78,24
25,223011599,F,69.5,66.5,54.25,55.88,72.5,79.7,74.5,398.33,66.39,25
12,223002023,F,76.75,58,58.25,51.25,77,76,74,397.25,66.21,26
22,223011022,F,78,58.5,51.25,54.83,78.5,75.3,74.5,396.38,66.06,27
16,223002798,M,76.5,50.5,54.75,56.63,81.5,70.4,78.5,390.28,65.05,28
4,223000935,M,65.25,54.5,53.25,53.75,84,77.1,83,387.85,64.64,29
23,223011109,F,68.38,51.5,55.5,60.42,79,63.5,77,378.3,63.05,30
36,223021949,M,63.63,56,54.25,57.79,69,76.3,67,376.97,62.83,31
14,223002256,M,69.5,50,50.75,43.08,76,67.3,69,356.63,59.44,32
6,223001411,M,58.95,45,51.75,51.33,77,68.9,72,352.93,58.82,33
21,223010508,F,53.25,50,50.75,52.46,75.5,65.2,76,347.16,57.86,34
19,223006207,M,68.88,51,43,45.54,66.5,64.3,78.5,339.22,56.54,35
8,223001477,F,50.08,45.5,50.75,50.46,70.5,60.1,70,327.39,54.57,36
