S/N,ID,Gender,PH80141,CH80141,MA80141,MA80143,CS80141,CT80111,PE80141,FE80141,CL80111,total,percentage,rank
59,225058747,M,80.09,87.5,62.08,75,78.8,85.5,79.65,90.5,82,639.12,82.8,1
1,225022830,F,75.56,84.25,75.42,75,84.2,86,75.5,90,88,645.93,81.54,2
56,225057070,M,83.06,86.75,71.5,83,78,85.5,66.45,87,86,641.26,81.4,3
13,225026623,F,77.16,81.08,63.9,81,78.3,89,73.5,80.5,86,624.44,79.8,4
12,225025442,M,74.38,79.75,75.23,73,80.7,87.5,78.4,84,77,632.96,79.77,5
31,225039141,F,75.81,83.13,59.88,65.25,71.2,88,80.5,88,86,611.77,79.6,6
84,225067930,F,71.59,83.44,69.21,75.25,78.1,85.5,73.33,87,85,623.42,78.91,7
64,225060870,M,83.56,68.19,62.9,69.25,78,78.5,74.6,91,87,606,78.61,8
78,225066676,M,78.91,85.32,67.43,70,75.5,89,60.05,82.5,72,608.71,77.96,9
36,225046061,M,66.81,77.88,74.99,70.25,87.2,86.5,69.1,88.5,82,621.23,77.79,10
80,225067628,M,71.94,79.82,71.9,70.5,74,89,70.45,84.5,82,612.11,77.27,11
118,225081402,M,67.09,77.9,63.06,77,73.7,89,72.5,87,86,607.25,77.03,12
8,225023906,M,66.56,83.33,65.78,70,72.8,87,76.54,84.5,78,606.51,77,13
72,225065099,F,65.31,84.14,60.75,77.5,71.8,85.5,70.6,87.5,80,603.1,76.61,14
63,225060582,F,61.88,76.44,57.33,78.5,73.7,87.5,75.2,91,82,601.55,76.56,15
67,225063188,F,74.41,83.82,62.4,70.25,70.6,86,65.4,82.5,88,595.38,76.44,16
49,225053529,M,71.88,79.38,66.57,63.75,78.3,87.5,65.55,84,76,596.93,76.34,17
73,225065142,F,66.59,78.19,57.18,67.5,80.1,85.5,70.15,85,78,590.21,76.08,18
23,225033829,M,59.06,77.25,72.9,81.5,72.7,87.5,74.2,91,80,616.11,76,19
116,225079660,F,66.56,79.65,65.6,61.5,80.3,87,71.25,83,87,594.86,75.97,20
120,225082507,M,78.41,73.03,56.63,69.25,72.3,81,67.7,85.5,75,583.82,75.97,21
24,225033976,F,79.22,67.38,59.06,75.5,71.8,79,68.4,85,72,585.36,75.45,22
21,225031814,M,65.84,72.13,70.42,67.75,76.2,86,75,84,82,597.34,75.14,23
115,225079323,F,62.06,78.78,55.13,74.5,68.3,85,76.15,87,70,586.92,75.08,24
44,225051926,M,72.19,75.88,52.53,69,66.1,85,62.75,92,91,575.45,74.93,25
101,225074732,M,64.41,71.63,74.5,81.25,75.4,85,67.85,85,80,605.04,74.59,26
46,225052414,M,73.88,79.5,67.85,71.75,75.5,75,68.65,76,83,588.13,74.48,27
34,225041092,M,66.34,71.38,66.31,66.75,72.6,87,72.1,84,71,586.48,74.28,28
55,225056783,F,56.41,75.75,62.33,72.5,72.6,87.5,75.35,87.5,79,589.94,74.22,29
75,225065455,M,65.59,77.82,54,68,71.1,85.5,70.1,82,71,574.11,74.13,30
60,225058918,F,52.31,77.13,65.15,69.75,77.1,87,74.35,89,82,591.79,73.99,31
35,225044026,M,64.34,78.38,67.56,63.5,72.5,87.5,63.1,88,78,584.88,73.96,32
