S/N,ID,Gender,MA80141,PS80141,PS80142,CS80141,CT80111,PE80141,FE80141,CL80111,total,percentage,rank
12,225023974,M,78.79,83,78.4,73.5,71.5,70.3,88.12,73,543.61,77.93,1
21,225024908,M,69.63,75.83,75.85,78.2,80,69.5,77.34,77,526.35,76.08,2
6,225022856,M,73.67,73.17,77.36,64.6,79,71.6,86.83,68.5,526.23,75.4,3
13,225024012,M,59.25,80,76.56,62.6,78,61.9,87.24,69.5,505.55,74.94,4
17,225024205,F,65.13,70.67,76.64,61.1,71,75.8,90.74,79.5,511.08,74.23,5
33,225027096,M,65.68,72.33,77.47,65,71.5,70.8,84.48,79.5,507.26,73.78,6
8,225023459,M,60.05,68.5,74.78,61.8,71,81.7,86.49,68.5,504.32,73.7,7
35,225027272,M,67.15,70,75.39,71,73,62.2,81.85,77.5,500.59,72.31,8
29,225026200,M,57.17,73.17,73.67,58.4,77.5,68.3,81.23,59.5,489.44,72.24,9
7,225023363,F,70.85,70.83,72.94,65.5,72.5,66.1,85.33,67.5,504.05,72.16,10
32,225026581,F,61.44,69.83,70.7,64.5,71.5,73.6,82.74,64,494.31,71.88,11
2,225022536,M,55.39,63.67,77.24,65.2,74.5,63.6,85.12,65.5,484.72,71.4,12
23,225025081,F,56.89,73.17,69.59,58.1,75.5,73,78.84,65.5,485.09,71.37,13
31,225026525,M,68.64,69.83,76.64,58.4,74.5,67.1,76.14,69.5,491.25,70.84,14
27,225025421,M,52.61,72.33,76.64,71.9,64.5,61.4,73.68,64,473.06,70.71,15
4,225022715,M,54.38,71.17,69.09,64.3,74,64.1,80.22,63,477.26,70.43,16
24,225025100,F,55.54,70.67,70.89,56.1,71,64.2,86.62,69,475.02,70.04,17
18,225024325,F,56.57,64.67,70.21,66.2,66,70.3,76.86,74,470.81,68.81,18
28,225025769,M,65.79,69.17,71.01,53.2,73,59.9,83.74,66,475.81,68.59,19
16,225024163,F,62.94,68.5,69.38,56.7,70.5,64.1,81.48,62,473.6,68.51,20
3,225022560,M,51.74,65.5,66.58,56.1,78,65,78.89,62,461.81,68.02,21
9,225023728,F,55.85,67.5,73.04,56.5,67,63.6,76.24,61,459.73,67.74,22
22,225024920,F,60.89,70,73.16,52.5,68.5,65.3,71.34,63.5,461.69,67.48,23
14,225024014,F,59.65,68.17,66.28,65.4,65,70,69.49,72,463.99,67.37,24
26,225025380,F,58.63,67.83,71.46,52.1,72,62,76.24,69,460.26,67.33,25
30,225026374,F,52.52,66.33,69.01,52.9,69,63.2,83.21,68,456.17,67.33,26
15,225024070,F,41.71,69.33,73.35,58.5,69,50.4,77.44,65.5,439.73,67.05,27
34,225027179,M,44.11,70,63.96,51.1,64,74.9,78.08,57.5,446.15,67,28
25,225025120,M,52.36,72.5,74.69,50,56.5,60.6,79.23,54.5,445.88,66.73,29
20,225024864,M,50.06,52.83,70.78,60.6,70,65.9,84.11,71,454.28,66.58,30
36,225027351,M,40.94,69.33,74.77,50.2,51.5,64.1,66.26,63,417.1,64.03,31
11,225023863,F,50.18,56,67.25,55.8,57,61.9,76.77,57.5,424.9,62.33,32
10,225023743,F,39.79,51.17,66.13,51.9,62.5,60.1,73.71,41,405.3,60.59,33
1,223021369,M,50.21,,,69.3,50,56.8,65.35,65,291.66,60.36,34
5,225022769,F,40.56,54.33,64.04,50.8,60,60.8,68.78,58.5,399.31,59.71,35
19,225024838,M,,27.17,,,29.5,,44.35,12.5,101.02,16.37,36
