S/N,ID,Gender,CE80341,CE80342,PS80341,PS80342,PS80344,PS80345,CL80311,total,percentage,rank
1,224002896,M,83.5,81.5,79.17,69.98,76,88.3,79.5,557.95,79.70714286,1
6,224005187,M,81,84.9,69,69.4,80.33,80.3,79.5,544.43,77.77571429,2
10,224006633,F,72,77.5,76.83,74.3,75.67,86.8,78.5,541.6,77.37142857,3
37,224015014,M,72,76.1,78.17,73.87,75.33,86.3,75.5,537.27,76.75285714,4
11,224007116,F,75,78.7,80.83,65.67,78.5,78.3,80,537,76.71428571,5
3,224004568,M,82,83.7,69,70.12,72.5,75.3,84,536.62,76.66,6
19,224014148,M,78,78.4,73.33,69.87,73.67,79.5,75,527.77,75.39571429,7
2,224004204,M,71.4,77.8,70,73.13,70,84.5,78,524.83,74.97571429,8
21,224016604,F,72,77,72.67,67.55,76.33,85.5,70,521.05,74.43571429,9
32,224008441,M,84,76.2,58.17,64.83,71.33,86.5,79.5,520.53,74.36142857,10
16,224011232,M,68,78.7,68.5,68.37,73,81.8,80,518.37,74.05285714,11
40,224017489,F,74,74.4,69.17,65.95,73.17,85.3,76,517.99,73.99857143,12
20,224015539,F,74.7,79.6,70,57.48,73.67,80.5,80,515.95,73.70714286,13
39,224017479,F,84,69.1,71.83,65.62,71.83,73.8,78.5,514.68,73.52571429,14
29,224006268,F,72,81,62.83,68.17,74.83,79.3,76,514.13,73.44714286,15
8,224005540,M,73,71,73.5,68.58,77.5,71,79.5,514.08,73.44,16
9,224006046,M,72,75.4,70.83,65.78,69.17,86.8,72.5,512.48,73.21142857,17
18,224012288,M,82,74.5,67.67,68.22,71,77,71.5,511.89,73.12714286,18
14,224007827,F,77,84.5,67.5,59.42,66,77.3,78.5,510.22,72.88857143,19
15,224009432,M,78,81.7,60.5,63.3,67.33,85.8,70,506.63,72.37571429,20
28,224005258,M,72,70.7,69.5,66.92,73.83,78.3,71,502.25,71.75,21
4,224004682,F,78,73.6,62.83,59.63,73,75.8,78,500.86,71.55142857,22
38,224016485,F,74,66.9,61.5,71.03,71.5,85,66.5,496.43,70.91857143,23
26,224003103,F,70,74,68.5,70,66,75,70,493.5,70.5,24
33,224011734,F,78,70.3,64,67.33,69,66.5,77.5,492.63,70.37571429,25
7,224005377,F,70,71.9,57.5,65.83,74.83,74.3,78,492.36,70.33714286,26
5,224005105,F,73,73.6,67.5,64.25,65.5,80.5,67,491.35,70.19285714,27
31,224007702,F,74,77,61.5,59.45,69.67,74.3,73,488.92,69.84571429,28
30,224007659,M,70,79.5,63,67,73.33,66.3,66.5,485.63,69.37571429,29
35,224013962,M,70,74.9,69.33,59.72,72,66.8,69.5,482.25,68.89285714,30
41,224017824,M,66,81,57.33,58.42,64,81,73.5,481.25,68.75,31
34,224011987,F,74,62,65.67,64.83,69,75.8,69,480.3,68.61428571,32
36,224014484,M,66,72.5,50.83,54.07,67.33,84.8,68.5,464.03,66.29,33
13,224007769,F,68,54.4,61.67,64.35,66,75.5,69.5,459.42,65.63142857,34
12,224007337,F,68,69.8,61.83,68.02,64.5,70.5,54,456.65,65.23571429,35
22,221011428,M,70,60.5,62.67,60.5,64.67,69.3,60,447.64,63.94857143,36
27,224004422,F,68,70.7,61,60,66,64.5,52,442.2,63.17142857,37
23,221025742,F,64,73.5,57.17,52.25,60,60,70.5,437.42,62.48857143,38
24,223020220,M,55,72,55.5,47.25,58.67,53.3,63,404.72,57.81714286,39
25,223022134,M,60,66.5,38,42.88,65.33,,73,345.71,49.38714286,40
