S/N,ID,Gender,SN80141,SN80142,SN80143,FE80141,PE80141,CT80111,CS80141,CL80111,total,percentage,rank
134,225062473,M,91.5,85,77,84.65,83.97,87.5,78.25,66,587.87,83.98,1
5,225065932,F,89,84.5,78,81.77,80.4,84.5,79.5,74.5,577.67,82.52,2
38,225051269,F,90.5,86,85,65.65,74.2,83,88,81,572.35,81.76,3
48,225037017,M,88.5,85.5,74,82.04,80.43,81.5,78.7,69,570.67,81.52,4
123,225037321,M,86.5,85,77,81.31,79.82,85.8,72.5,61,567.93,81.13,5
45,225042855,F,80,85,79,80.54,81.27,83.5,78.2,64.5,567.51,81.07,6
72,221002652,F,84,86.5,74,82.77,74.91,82.7,82.3,69.5,567.18,81.03,7
78,225076566,F,80,82.5,80,77.96,82.79,81.2,82,68.5,566.45,80.92,8
44,221019407,F,85,88,71,76.23,79.92,82,83.3,75,565.45,80.78,9
19,219004402,M,86.5,80.5,70,82.74,85.55,76,83.1,72,564.39,80.63,10
27,225048360,F,78,87,83,76.58,76.61,81.5,78.3,69.5,560.99,80.14,11
131,225031751,M,87.5,86.5,76,78.31,81.98,79.7,71,64.5,560.99,80.14,12
41,225032250,M,80.5,86,79,76.24,79.11,79.5,80.2,76,560.55,80.08,13
139,225083864,F,92,84.5,77,72.23,78.3,86.9,69.5,65,560.43,80.06,14
149,225047902,F,87.5,84.5,84,73.38,78.12,85.3,67,57.5,559.8,79.97,15
79,225033354,F,86.5,80,74,81.54,74.67,87.5,75.5,64.5,559.71,79.96,16
15,225027980,F,89.5,83,75,77.62,75.4,82,74,64.5,556.52,79.5,17
34,225048035,M,89,84,80,80.07,72.9,75,75,70.5,555.97,79.42,18
121,225059424,M,81,85,77,83.81,69.62,85.6,71.5,78,553.53,79.08,19
142,225055109,F,77.5,87,83,83.58,71.42,85.9,64,50.5,552.4,78.91,20
114,225051344,F,87.5,85,85,73.05,65.88,85.1,70.5,60.5,552.03,78.86,21
39,225080641,M,81,86,73,86.08,72.31,83,68.4,67,549.79,78.54,22
76,225042109,M,83.5,81.5,75,77.78,78.28,82.9,70.8,66.5,549.76,78.54,23
26,225040895,F,88.5,87,67,81.23,74.54,79.5,71.3,71.5,549.07,78.44,24
49,225065529,M,82.5,85,76,80.11,64.85,78,81.6,66,548.06,78.29,25
14,225051236,M,80.5,86,78,81.89,66.05,79.5,76,77,547.94,78.28,26
120,225036236,M,85,87,78,78.19,71.51,84,63.5,51,547.2,78.17,27
1,225031560,M,87.5,80.5,69,79.11,78.56,80.5,71.6,55.5,546.77,78.11,28
108,225051499,M,83,86.5,76,74.54,71.26,83.5,71.5,71,546.3,78.04,29
75,225051297,F,86,84.5,79,79.58,70.63,85.3,59,54,544.01,77.72,30
22,219011749,M,83,84,79,72.2,71.96,77.5,76.2,73.5,543.86,77.69,31
29,225051242,F,88,86,78,81.89,67.58,69.5,72.8,72.5,543.77,77.68,32
9,217080685,M,84.5,86,74,85.23,65.72,84,64,64.5,543.45,77.64,33
88,225031041,M,76.5,83.5,80,77.93,73.6,80,71,70,542.53,77.5,34
150,225044820,F,87.5,84.5,82,67.7,73.9,88.1,58,58.5,541.7,77.39,35
13,225089512,F,83.5,87,81,64.54,68.67,81.5,74.2,74,540.41,77.2,36
53,225046687,M,88,86,83,67.34,68.85,76.5,70.7,64,540.39,77.2,37
43,225037221,F,89.5,85,76,71.54,77.72,71.5,69.1,58,540.36,77.19,38
24,225061046,F,83,84,74,67.7,77.17,79,73.8,63.5,538.67,76.95,39
66,225047428,F,83,84,77,73.11,75.09,80.2,66,56,538.4,76.91,40
82,221029297,M,82,82.5,75,77.74,70.54,80,70,68.5,537.78,76.83,41
146,225051252,F,81.5,83.5,75,78.78,68.05,88.9,62,65.5,537.73,76.82,42
145,225045903,M,82.5,83.5,84,73.05,75.62,77.4,60,61,536.07,76.58,43
127,225059378,F,78,80,81,74.31,72.68,81,68.5,69,535.49,76.5,44
161,225072767,F,82,84,79,70.01,70.1,86.9,63.5,62.5,535.51,76.5,45
118,225044295,F,76,86,81,76.5,68.18,82.2,65.5,63,535.38,76.48,46
50,225063689,F,76,84,82,77.35,75.65,81.5,58.1,59.5,534.6,76.37,47
42,225033182,F,83.5,86,73,77.58,74.74,75,64.7,61.5,534.52,76.36,48
68,217032915,F,84,87,77,76.5,68.12,83.7,58,50.5,534.32,76.33,49
101,225064125,M,88.5,78,80,67.66,75.15,84.5,60.5,64,534.31,76.33,50
70,225051462,F,85,83,80,75,69.1,75.4,65.7,66.5,533.2,76.17,51
156,225085922,F,78,80,78,76.5,76.09,83,60.8,62,532.39,76.06,52
11,225087067,M,78,80.5,79,81.85,69.1,77,66.5,64.5,531.95,75.99,53
95,218001289,F,81.5,85,75,74.97,68.06,78.5,68.75,64,531.78,75.97,54
132,225079334,M,78.5,82.5,74,79.66,62.9,77.7,76.5,68.5,531.76,75.97,55
115,225051348,F,84,85.5,79,78.05,60.26,82.4,62.5,53,531.71,75.96,56
74,225051430,F,77.5,79.5,74,77.27,68.16,87.4,67.7,54.5,531.53,75.93,57
71,225051271,F,91.5,85.5,74,72.27,70.36,85.8,51.8,65.5,531.23,75.89,58
16,219010422,M,86,85.5,69,75.46,65.97,80.5,68.1,69,530.53,75.79,59
116,225051521,F,81.5,85,76,69.96,68.37,83.4,66,67,530.23,75.75,60
10,225064694,M,78,84,77,83.7,66.11,73.5,67.9,67.5,530.21,75.74,61
103,225070018,F,81,82,76,75.5,75.44,82.9,57,50.5,529.84,75.69,62
105,225061849,M,77,84,73,70.62,85.56,76.4,63,63,529.58,75.65,63
99,225061875,M,71.5,84,73,82.85,78.2,74.4,65.5,58.5,529.45,75.64,64
104,225084511,M,86,84,71,69,66.2,81.2,72,64,529.4,75.63,65
133,225031966,M,84.5,83,73,70.93,71.75,75.5,69.75,63,528.43,75.49,66
56,225032321,M,83.5,84,76,74.58,65.85,74,69,58.5,526.93,75.28,67
111,225073604,M,83,86,73,67.82,71.24,83.4,62,67,526.46,75.21,68
140,221010449,F,82,85,76,74.42,65,72.8,71,69,526.22,75.17,69
159,225085471,F,78,86,75,71.85,73.71,79.9,61,58.5,525.46,75.07,70
94,225064181,M,73,87,77,66.07,69.55,81.2,71.5,56.5,525.32,75.05,71
17,225051267,F,75.5,81,73,80.62,69.74,77.5,67.8,75,525.16,75.02,72
86,225069448,M,80,77.5,75,76.16,78.81,77.9,59.5,56,524.87,74.98,73
107,225068643,M,78,81,81,72.38,68.58,81.3,62.5,59.5,524.76,74.97,74
65,225047732,M,74.5,85,78,71.27,72.8,78.5,64,70.5,524.07,74.87,75
154,225055098,M,85.5,87,84,71.32,58.7,78.8,58.5,65.5,523.82,74.83,76
25,225037623,F,82.5,84,72,80.42,64.53,76,64.1,72.5,523.55,74.79,77
60,225064589,M,72,85,68,78.96,72,80.9,66.1,69,522.96,74.71,78
129,225051396,F,82,83.5,78,74.19,59.1,82.6,63,59.5,522.39,74.63,79
30,21801760,F,70,84,79,72.78,68.78,83.5,64,57,522.06,74.58,80
91,225023292,M,76.5,84.5,77,74.58,66.85,79.9,62.5,71,521.83,74.55,81
6,225047869,M,76.5,87,65,75.62,78.74,72.5,64.9,66,520.26,74.32,82
83,225051296,M,78.5,87,76,71.34,59.24,78.6,69.5,66.5,520.18,74.31,83
33,225051272,F,78,83.5,76,73.62,74.03,73.5,60.9,57.5,519.55,74.22,84
155,225084520,F,86.5,80.5,72,72.78,68.52,80.5,58,52.5,518.8,74.11,85
51,225051323,M,82,76.5,74,79.42,67.71,71,67.4,71,518.03,74,86
130,225051286,F,73,81.5,73,77.19,67.7,78,67,65,517.39,73.91,87
31,225073352,F,71,82.5,78,74.11,73.07,75.5,63,62,517.18,73.88,88
147,225076828,F,75.5,71,82,72.42,66.2,89.2,60.5,55,516.82,73.83,89
141,225046206,F,83.5,85,62,69.01,70.98,78.7,67,57,516.19,73.74,90
